Name,Morph,Gender,YOB,Weight
Pudding,Banana H. Clown,Male,2024,
Taohu,Super Mojave,Male,2024,
Chocolate Chip,Pastel DG,Male,2021,
Gangsta,Spotnose Clown,Male,2024,
Mashmellow,Ivory (Super yellow belly),Male,2024,
Brownie,Black head,Male,2024,
Almond,Hurricane Butter Fire Yellow belly H.clown,Female,2024,
Caramel,Hurricane butter Spider pos H.Ghost Clown Pied,Female,2024,
Cookie,HRA Pastel Fire Paradox 50% pos het clown,Female,2024,
Hershy,Super Mystic,Female,2024,
Halibo,Spotnose Super Enchi H.Clown,Female,2023,
Biscuit,Leopard Lesser Pastel H. Clown,Female,2024,
Salabao,OD Highway,Female,2023,
Waffel,HGW Enchi Fire,Female,2023,
Toffee,Spotnose Pastel H.DG,Female,2023,
Coco,Pastel het. DG,Female,2023,
Latte,Lesser Spotnose 66% pos h.clown 50% pos h.DG hypo,Female,2023,
Mochi,Salmon Hypo Bloodred,Male,2023,
Milkshake,Salmon Tessera H.Bloored,Female,2024,
Berry,Snow poss Hypo Strawberry,Female,2024,
Honey,Opal,Female,2024,
Peachy,Opal Tessera,Male,2024,
Lavender,Lavender tessera,Female,2024,
Lolipop,Salmon H. Bloodred,Female,2024,
